Trade #,Type,Date/Time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Run-up USD,Run-up %,Drawdown USD,Drawdown %,Cumulative P&L USD,Cumulative P&L %
1191,Exit long,2025-01-13 21:52,Close entry(s) order Long,91603.5,1,91967,-418.57,-0.45,1060.41,1.15,-454.59,-0.49,-68056.06,-0.68
1191,Entry long,2025-01-13 20:23,Long,91967,1,91967,-418.57,-0.45,1060.41,1.15,-454.59,-0.49,-68056.06,-0.68
1192,Exit short,2025-01-13 22:56,Close entry(s) order Short,91970,1,91395.5,-629.51,-0.69,156.08,0.17,-676.42,-0.74,-68685.57,-0.69
1192,Entry short,2025-01-13 22:26,Short,91395.5,1,91395.5,-629.51,-0.69,156.08,0.17,-676.42,-0.74,-68685.57,-0.69
1193,Exit long,2025-01-14 01:23,Close entry(s) order Long,92009.5,1,92390,-435.82,-0.47,83.78,0.09,-418.72,-0.45,-69121.39,-0.69
1193,Entry long,2025-01-14 01:16,Long,92390,1,92390,-435.82,-0.47,83.78,0.09,-418.72,-0.45,-69121.39,-0.69
1194,Exit long,2025-01-14 04:38,Close entry(s) order Long,94150,1,92505.5,1588.5,1.72,2148.25,2.32,-80.25,-0.09,-67532.89,-0.68
1194,Entry long,2025-01-14 02:06,Long,92505.5,1,92505.5,1588.5,1.72,2148.25,2.32,-80.25,-0.09,-67532.89,-0.68
1195,Exit long,2025-01-14 06:02,Close entry(s) order Long,94486,1,94700.5,-271.26,-0.29,102.59,0.11,-268.41,-0.28,-67804.15,-0.68
1195,Entry long,2025-01-14 05:49,Long,94700.5,1,94700.5,-271.26,-0.29,102.59,0.11,-268.41,-0.28,-67804.15,-0.68
1196,Exit long,2025-01-14 07:09,Close entry(s) order Long,94641.5,1,94935.5,-350.87,-0.37,47.52,0.05,-363.48,-0.38,-68155.02,-0.68
1196,Entry long,2025-01-14 06:41,Long,94935.5,1,94935.5,-350.87,-0.37,47.52,0.05,-363.48,-0.38,-68155.02,-0.68
